K@1,K@3,K@5,micro_AUC,macro_AUC
,,,,
0.162624821,0.097004279,0.074322402,0.654429775,0.571971684
0.186162621,0.104850218,0.079172619,0.673932964,0.613936645
0.077746078,0.106038988,0.081312418,0.674526747,0.606563249
0.174750358,0.09367571,0.07289587,0.677675395,0.617481937
0.158345222,0.089871615,0.076890156,0.665648685,0.604100611
0.19971469,0.121017598,0.091583446,0.698062555,0.632093739
0.158345222,0.110556349,0.085164048,0.687768572,0.624685497
0.16690442,0.11483594,0.085021399,0.695143752,0.629581234
0.238231093,0.121730857,0.093865924,0.719037354,0.65668816
0.203994289,0.122206368,0.093437955,0.718812368,0.654753789
0.079885878,0.111982882,0.08345221,0.701767619,0.634103356
0.204707563,0.121017598,0.092296727,0.710198228,0.651430378
0.196861625,0.118164532,0.088873051,0.723151338,0.658256089
0.20328103,0.123395152,0.094864488,0.733269574,0.671066051
0.092724681,0.105801247,0.08544936,0.711470801,0.647568979
0.184736088,0.122681886,0.097574882,0.724625458,0.6679598
0.058487874,0.103423692,0.09044224,0.718223748,0.657972209
0.218259633,0.130052313,0.100570612,0.741950096,0.679092556
0.161911562,0.11697574,0.091155492,0.726641094,0.666820646
0.158345222,0.114835963,0.090870187,0.717527495,0.657632391
0.080599144,0.117689013,0.09786021,0.746447474,0.690489776
