K@1,K@3,K@5,micro_AUC,macro_AUC
0.20869033,0.233170137,0.205140769,0.645386052,0.499423726
0.225214198,0.251937985,0.263769895,0.7304422,0.635172708
0.349449217,0.32700938,0.308812737,0.741132676,0.65109937
0.350673199,0.334557325,0.320073426,0.742339313,0.65137647
0.368421048,0.334761322,0.322031856,0.748975868,0.665625714
0.362301111,0.328641385,0.315911889,0.749933156,0.657161514
0.408812732,0.356385142,0.336964518,0.753655019,0.670960668
0.3237454,0.358017176,0.344430864,0.760826587,0.674032244
0.348225206,0.363933057,0.346756399,0.765128907,0.679678578
0.40697673,0.375968993,0.352141947,0.764283153,0.676330246
0.405752748,0.388208896,0.357649982,0.770584285,0.682645933
