K@1,K@3,K@5,micro_AUC,macro_AUC
0.20869033,0.233170137,0.205140769,0.645386052,0.499423726
0.282129735,0.248470008,0.230599791,0.725483862,0.626355703
0.378824979,0.314157516,0.292044073,0.738597795,0.642301529
0.339657277,0.311709493,0.299020797,0.746932654,0.655051949
0.35189718,0.309057534,0.304283977,0.752016151,0.671653696
0.405140758,0.355365157,0.334516555,0.755871321,0.671236654
0.40758875,0.364137083,0.339167684,0.753496707,0.666496893
0.386780918,0.350061208,0.329498172,0.757355316,0.672593365
0.417992651,0.374337018,0.347368449,0.764150873,0.678506781
0.432068557,0.384536952,0.351040423,0.767155176,0.683457396
0.411872715,0.380252957,0.352264404,0.772680005,0.689130175
