K@1,K@3,K@5,micro_AUC,macro_AUC
0.20869033,0.233170137,0.205140769,0.645386052,0.499423726
0.265605867,0.268461853,0.265116274,0.733578956,0.643968376
0.252141982,0.288045704,0.275153011,0.738136054,0.64529755
0.31517747,0.304569542,0.306731939,0.749098956,0.666883929
0.297429621,0.331701338,0.321664661,0.755662937,0.672241384
0.369033039,0.354549199,0.33745411,0.760616794,0.677188116
0.350673199,0.346797228,0.334026933,0.762741766,0.680722854
0.340881258,0.347205222,0.334638953,0.757135721,0.663244353
0.400856793,0.374337047,0.349449217,0.765200342,0.679513915
0.388004899,0.379844964,0.352386802,0.769725545,0.688759394
0.418604642,0.390452862,0.360220313,0.777687746,0.694913502
