K@1,K@3,K@5,micro_AUC,macro_AUC
0.20869033,0.233170137,0.205140769,0.645386052,0.499423726
0.266217858,0.281925708,0.266340286,0.7314267,0.629708288
0.247246027,0.285393715,0.277968198,0.735855285,0.639776341
0.323133409,0.29294166,0.299877614,0.745096447,0.652114042
0.260709912,0.31456548,0.315055072,0.75022341,0.666205545
0.313341498,0.331701338,0.322031826,0.756306172,0.671624241
0.40758875,0.357201159,0.336107731,0.758483668,0.673430928
0.375764996,0.361281127,0.345532447,0.767294357,0.681513846
0.330477357,0.357609123,0.339902103,0.768032976,0.684590838
0.40758875,0.374336988,0.354100376,0.768990424,0.679437071
0.37943697,0.370053053,0.353733182,0.777371266,0.698521801
